   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 592,           877,             287,              0,      2774,           0,        995
 593,           878,             287,           1001,      2775,           0,        998
 594,           880,             288,              0,      2784,           0,          0
 595,           882,             289,           1502,      2792,           0,       1004
 596,           883,             289,              0,      2793,           0,       1003
 597,           884,             289,              0,      2808,           0,        998
 598,           885,             289,            998,      2805,           0,       1000
 599,           886,             289,              0,      2818,           0,       1999
 600,           887,             289,              0,      2819,           0,       1000
 601,           888,             289,           1000,      2822,           0,        502
 602,           890,             290,              0,      2816,           0,       1003
 603,           892,             291,           1000,      2827,           0,        999
 604,           896,             294,              0,      2845,           0,       2001
 605,           897,             294,              0,      2850,           0,        998
 606,           898,             294,            999,      2846,           0,          0
 607,           899,             294,              0,      2844,           0,       1004
 608,           900,             294,           1003,      2863,           0,        999
 609,           902,             295,              0,      2866,           0,       2001
 610,           903,             295,              0,      2857,           0,        999
 611,           904,             295,            999,      2861,           0,        999
 612,           906,             296,           1000,      2883,           0,        999
 613,           907,             296,            503,      2885,           0,       1004
 614,           908,             296,              0,      2885,           0,        999
 615,           909,             296,              0,      2884,           0,        999
 616,           910,             296,              0,      2905,           0,        999
 617,           912,             297,           1000,      2904,           0,        998
 618,           913,             297,              0,      2905,           0,       1502
 619,           914,             297,           1004,      2910,           0,       1003
 620,           915,             297,              0,      2930,           0,       1999
 621,           917,             298,              0,      2931,           0,       1000
 622,           918,             298,              0,      2930,           0,        999
 623,           919,             298,            999,      2942,           0,       1001
 624,           921,             299,              0,      2961,           0,       1502
 625,           922,             299,           1005,      2966,           0,       1003
 626,           925,             301,              0,      2979,           0,        999
 627,           929,             304,              0,      2967,           0,       1000
 628,           930,             304,              0,      2968,           0,        990
 629,           931,             304,            999,      2971,           0,       1502
 630,           933,             305,              0,      2998,           0,       1003
 631,           934,             305,           1003,      3003,           0,        999
 632,           936,             306,            999,      2986,           0,        999
 633,           937,             306,              0,      3000,           0,       1000
 634,           938,             306,              0,      3005,           0,       1998
 635,           940,             307,              0,      3009,           0,       1502
 636,           941,             307,              0,      3023,           0,       2007
 637,           945,             310,              0,      3025,           0,       1000
 638,           948,             312,              0,      3043,           0,        999
 639,           949,             312,           1001,      3044,           0,        998
 640,           950,             312,            999,      3066,           0,          0
 641,           951,             312,              0,      3068,           0,       1004
 642,           953,             313,           1003,      3074,           0,       1000
 643,           954,             313,            999,      3071,           0,        999
 644,           955,             313,              0,      3064,           0,       1999
 645,           956,             313,              0,      3064,           0,       1999
 646,           958,             314,              0,      3076,           0,       1502
 647,           959,             314,              0,      3088,           0,       2007
 648,           962,             316,              0,      3078,           0,       1999
 649,           967,             320,              0,      3089,           0,       1000
 650,           968,             320,           1000,      3093,           0,        999
 651,           969,             320,           1001,      3094,           0,       1503
 652,           971,             321,              0,      3109,           0,       1004
 653,           972,             321,              0,      3110,           0,        999
 654,           973,             321,           1001,      3115,           0,        999
 655,           975,             322,           1000,      3116,           0,        999
 656,           976,             322,              0,      3133,           0,       1000
 657,           977,             322,              0,      3135,           0,       1503
 658,           979,             323,           1004,      3137,           0,       1002
 659,           980,             323,           1000,      3140,           0,       1001
 660,           984,             326,              0,      3153,           0,       1001
 661,           986,             327,              0,      3157,           0,       1998
 662,           987,             327,              0,      3144,           0,       1502
 663,           988,             327,           1004,      3155,           0,       1003
 664,           989,             327,              0,      3167,           0,        999
 665,           990,             327,              0,      3170,           0,       2001
 666,           991,             327,              0,      3176,           0,       1999
 667,           992,             327,              0,      3189,           0,        999
 668,           994,             328,            504,      3186,           0,       1003
 669,           995,             328,           1003,      3188,           0,       1001
 670,           996,             328,              0,      3203,           0,       1000
 671,           997,             328,              0,      3199,           0,       1999
 672,           999,             329,              0,      3199,           0,       1001
 673,          1003,             332,           1504,      3205,           0,       1005
 674,          1004,             332,              0,      3212,           0,        999
 675,          1005,             332,              0,      3211,           0,        999
 676,          1006,             332,              0,      3232,           0,       2000
 677,          1007,             332,              0,      3240,           0,       2000
 678,          1008,             332,              0,      3246,           0,       1504
 679,          1009,             332,           1005,      3251,           0,       1004
 680,          1011,             333,           1000,      3244,           0,        998
 681,          1012,             333,              0,      3250,           0,       1000
 682,          1013,             333,              0,      3260,           0,       1003
 683,          1014,             333,              0,      3264,           0,       1503
 684,          1015,             333,           1004,      3251,           0,       1003
 685,          1016,             333,            999,      3255,           0,       1000
 686,          1018,             334,           1001,      3273,           0,        999
 687,          1021,             336,            999,      3295,           0,        998
 688,          1023,             337,              0,      3293,           0,       1001
 689,          1025,             338,              0,      3294,           0,       1004
 690,          1026,             338,              0,      3303,           0,        999
 691,          1027,             338,              0,      3304,           0,        998
 692,          1028,             338,              0,      3308,           0,        999
 693,          1030,             339,              0,      3312,           0,       1502
 694,          1031,             339,              0,      3317,           0,       2007
 695,          1035,             342,              0,      3328,           0,       2001
 696,          1036,             342,              0,      3343,           0,       1999
 697,          1037,             342,              0,      3346,           0,       1999
 698,          1038,             342,              0,      3347,           0,       2001
 699,          1040,             343,            502,      3344,           0,       1004
 700,          1043,             345,              0,      3383,           0,        999
 701,          1044,             345,              0,      3382,           0,       1000
 702,          1049,             349,              0,      3386,           0,        998
 703,          1050,             349,              0,      3385,           0,       1502
 704,          1051,             349,           1004,      3393,           0,       1004
 705,          1052,             349,            999,      3395,           0,        999
 706,          1055,             351,            999,      3403,           0,       1001
 707,          1056,             351,           1000,      3418,           0,        999
 708,          1058,             352,           1000,      3408,           0,       1501
 709,          1059,             352,              0,      3411,           0,       1004
 710,          1060,             352,              0,      3428,           0,        999
 711,          1061,             352,            998,      3424,           0,        999
 712,          1062,             352,            999,      3433,           0,       1000
 713,          1063,             352,              0,      3443,           0,       2509
 714,          1065,             353,              0,      3446,           0,       2003
 715,          1068,             355,              0,      3435,           0,       2001
 716,          1069,             355,              0,      3468,           0,       1001
 717,          1070,             355,            999,      3468,           0,        999
 718,          1071,             355,            999,      3478,           0,       1508
 719,          1072,             355,              0,      3480,           0,       2004
 720,          1073,             355,              0,      3478,           0,       1999
 721,          1074,             355,              0,      3486,           0,       1000
 722,          1075,             355,            999,      3501,           0,       1502
 723,          1077,             356,              0,      3493,           0,       2007
 724,          1078,             356,              0,      3509,           0,       1999
 725,          1079,             356,              0,      3526,           0,        999
 726,          1080,             356,              0,      3515,           0,        999
 727,          1081,             356,              0,      3517,           0,       2508
 728,          1082,             356,              0,      3536,           0,       2002
 729,          1083,             356,              0,      3538,           0,        999
 730,          1084,             356,              0,      3533,           0,       1001
 731,          1085,             356,            999,      3544,           0,        998
 732,          1086,             356,            999,      3553,           0,       1507
 733,          1087,             356,              0,      3553,           0,        999
 734,          1089,             357,           1000,      3573,           0,        999
 735,          1090,             357,           1000,      3575,           0,       1000
 736,          1091,             357,            999,      3571,           0,       1502
 737,          1092,             357,              0,      3575,           0,       1001
 738,          1094,             358,           1004,      3588,           0,       1000
 739,          1097,             360,            998,      3598,           0,       1001
 740,          1102,             364,            999,      3598,           0,        999
 741,          1103,             364,              0,      3600,           0,       1504
 742,          1104,             364,           1004,      3613,           0,       1004
 743,          1105,             364,            999,      3618,           0,        999
 744,          1106,             364,              0,      3623,           0,       1999
 745,          1109,             366,              0,      3630,           0,       1001
 746,          1113,             369,           1502,      3648,           0,       1507
 747,          1116,             371,              0,      3638,           0,       1000
 748,          1117,             371,            999,      3647,           0,        999
 749,          1118,             371,            999,      3664,           0,        999
 750,          1119,             371,              0,      3656,           0,       1502
 751,          1121,             372,           1003,      3664,           0,       1000
 752,          1122,             372,           1003,      3691,           0,       1000
 753,          1123,             372,              0,      3691,           0,       1995
 754,          1125,             373,              0,      3700,           0,       1999
 755,          1127,             374,              0,      3709,           0,       1004
 756,          1130,             376,           1003,      3706,           0,       1001
 757,          1131,             376,            999,      3715,           0,       2000
 758,          1132,             376,              0,      3714,           0,       1999
 759,          1133,             376,              0,      3708,           0,       1503
 760,          1135,             377,              0,      3754,           0,       2004
 761,          1136,             377,              0,      3765,           0,       1999
 762,          1140,             380,           1001,      3761,           0,        998
